"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell1"	"Cell1"	"Batch1"	"Group1"	55367.9162644285
"Cell2"	"Cell2"	"Batch1"	"Group1"	54272.1879836419
"Cell3"	"Cell3"	"Batch1"	"Group2"	56572.0603832426
"Cell4"	"Cell4"	"Batch1"	"Group1"	63764.9509953773
"Cell5"	"Cell5"	"Batch1"	"Group2"	64813.2486286175
"Cell6"	"Cell6"	"Batch1"	"Group2"	57232.6178968342
"Cell7"	"Cell7"	"Batch1"	"Group1"	40741.8017317552
"Cell8"	"Cell8"	"Batch1"	"Group2"	44898.2519246056
"Cell9"	"Cell9"	"Batch1"	"Group2"	44625.844586257
"Cell10"	"Cell10"	"Batch1"	"Group1"	69729.0774198623
"Cell11"	"Cell11"	"Batch1"	"Group2"	57026.8223469994
"Cell12"	"Cell12"	"Batch1"	"Group1"	63192.1473411254
"Cell13"	"Cell13"	"Batch1"	"Group1"	43836.1674198911
"Cell14"	"Cell14"	"Batch1"	"Group2"	53792.1270811893
"Cell15"	"Cell15"	"Batch1"	"Group2"	67002.8473100265
"Cell16"	"Cell16"	"Batch1"	"Group1"	57776.3484942572
"Cell17"	"Cell17"	"Batch1"	"Group1"	58511.1610826255
"Cell18"	"Cell18"	"Batch1"	"Group2"	59017.40654595
"Cell19"	"Cell19"	"Batch1"	"Group2"	76281.2129891008
"Cell20"	"Cell20"	"Batch1"	"Group2"	52945.6195647182
"Cell21"	"Cell21"	"Batch1"	"Group1"	68543.5981863464
"Cell22"	"Cell22"	"Batch1"	"Group2"	71662.2881581428
"Cell23"	"Cell23"	"Batch1"	"Group1"	47199.3980963233
"Cell24"	"Cell24"	"Batch1"	"Group1"	61343.9462699446
"Cell25"	"Cell25"	"Batch1"	"Group2"	59739.914631829
"Cell26"	"Cell26"	"Batch1"	"Group2"	73557.9010059764
"Cell27"	"Cell27"	"Batch1"	"Group2"	71894.4948158902
"Cell28"	"Cell28"	"Batch1"	"Group1"	59844.7355668709
"Cell29"	"Cell29"	"Batch1"	"Group2"	61525.1867424085
"Cell30"	"Cell30"	"Batch1"	"Group1"	51842.6936756148
"Cell31"	"Cell31"	"Batch1"	"Group1"	57548.0272105903
"Cell32"	"Cell32"	"Batch1"	"Group1"	48735.2681416353
"Cell33"	"Cell33"	"Batch1"	"Group2"	49345.8437190452
"Cell34"	"Cell34"	"Batch1"	"Group2"	46903.0217603086
"Cell35"	"Cell35"	"Batch1"	"Group2"	70773.6150040493
"Cell36"	"Cell36"	"Batch1"	"Group1"	74831.5120770015
"Cell37"	"Cell37"	"Batch1"	"Group2"	55127.8895444116
"Cell38"	"Cell38"	"Batch1"	"Group2"	47772.4561106174
"Cell39"	"Cell39"	"Batch1"	"Group1"	58830.3839132482
"Cell40"	"Cell40"	"Batch1"	"Group2"	93749.418267105
"Cell41"	"Cell41"	"Batch1"	"Group2"	90062.8135448736
"Cell42"	"Cell42"	"Batch1"	"Group2"	42448.2061397971
"Cell43"	"Cell43"	"Batch1"	"Group2"	55749.218359993
"Cell44"	"Cell44"	"Batch1"	"Group1"	81361.3886407374
"Cell45"	"Cell45"	"Batch1"	"Group2"	59417.9222176461
"Cell46"	"Cell46"	"Batch1"	"Group1"	82411.6960735876
"Cell47"	"Cell47"	"Batch1"	"Group1"	56009.8541576633
"Cell48"	"Cell48"	"Batch1"	"Group2"	67575.2577071081
"Cell49"	"Cell49"	"Batch1"	"Group1"	62620.5168030923
"Cell50"	"Cell50"	"Batch1"	"Group2"	114212.256931975
"Cell51"	"Cell51"	"Batch1"	"Group2"	71976.180246667
"Cell52"	"Cell52"	"Batch1"	"Group2"	47037.1120012631
"Cell53"	"Cell53"	"Batch1"	"Group2"	53062.3951015714
"Cell54"	"Cell54"	"Batch1"	"Group1"	64475.9172391489
"Cell55"	"Cell55"	"Batch1"	"Group2"	40937.421329928
"Cell56"	"Cell56"	"Batch1"	"Group1"	41735.9443369477
