"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell1"	"Cell1"	"Batch1"	"Group1"	63509.0993393288
"Cell2"	"Cell2"	"Batch1"	"Group1"	64766.7901370978
"Cell3"	"Cell3"	"Batch1"	"Group2"	49012.5299368074
"Cell4"	"Cell4"	"Batch1"	"Group1"	56097.9515192267
"Cell5"	"Cell5"	"Batch1"	"Group2"	48939.01640973
"Cell6"	"Cell6"	"Batch1"	"Group2"	52728.622239454
"Cell7"	"Cell7"	"Batch1"	"Group1"	47006.0625313553
"Cell8"	"Cell8"	"Batch1"	"Group2"	47892.1669054782
"Cell9"	"Cell9"	"Batch1"	"Group2"	67912.557158947
"Cell10"	"Cell10"	"Batch1"	"Group1"	56698.0833596811
"Cell11"	"Cell11"	"Batch1"	"Group2"	56853.4262904718
"Cell12"	"Cell12"	"Batch1"	"Group1"	84618.7909330506
"Cell13"	"Cell13"	"Batch1"	"Group1"	59178.9727011852
"Cell14"	"Cell14"	"Batch1"	"Group2"	53776.2523774546
"Cell15"	"Cell15"	"Batch1"	"Group2"	69526.0887791318
"Cell16"	"Cell16"	"Batch1"	"Group1"	54314.6046998125
"Cell17"	"Cell17"	"Batch1"	"Group1"	78793.166795745
"Cell18"	"Cell18"	"Batch1"	"Group2"	55518.1641333065
"Cell19"	"Cell19"	"Batch1"	"Group2"	52932.3243303576
"Cell20"	"Cell20"	"Batch1"	"Group2"	47399.8806517801
"Cell21"	"Cell21"	"Batch1"	"Group1"	63941.7679081748
"Cell22"	"Cell22"	"Batch1"	"Group2"	80282.1132043548
"Cell23"	"Cell23"	"Batch1"	"Group1"	55759.221905175
"Cell24"	"Cell24"	"Batch1"	"Group1"	63088.4840292744
"Cell25"	"Cell25"	"Batch1"	"Group2"	64001.7541804133
"Cell26"	"Cell26"	"Batch1"	"Group2"	79573.6787406359
"Cell27"	"Cell27"	"Batch1"	"Group2"	68375.8738660463
"Cell28"	"Cell28"	"Batch1"	"Group1"	48303.9670042405
"Cell29"	"Cell29"	"Batch1"	"Group2"	52084.3419960229
"Cell30"	"Cell30"	"Batch1"	"Group1"	51574.0495162511
"Cell31"	"Cell31"	"Batch1"	"Group1"	61593.6816981935
"Cell32"	"Cell32"	"Batch1"	"Group1"	59826.8930770504
"Cell33"	"Cell33"	"Batch1"	"Group2"	64446.2937063703
"Cell34"	"Cell34"	"Batch1"	"Group2"	52498.0558812409
"Cell35"	"Cell35"	"Batch1"	"Group2"	55532.8860652818
"Cell36"	"Cell36"	"Batch1"	"Group1"	69443.7264413991
"Cell37"	"Cell37"	"Batch1"	"Group2"	58693.1702352383
"Cell38"	"Cell38"	"Batch1"	"Group2"	52530.1213618052
